antecedents,consequents,support,lift,confidence
metformin,abilify,0.023,1.915,0.456
glipizide,abilify,0.028,1.758,0.419
lisinopril,abilify,0.041,1.748,0.417
lisinopril,carvedilol,0.039,2.291,0.399
fenofibrate,abilify,0.02,1.654,0.394
clopidogrel,abilify,0.023,1.594,0.38
metoprolol,abilify,0.036,1.572,0.375
atorvastatin,abilify,0.048,1.554,0.37
amphetamine salt combo,abilify,0.024,1.497,0.357
doxycycline hyclate,abilify,0.034,1.489,0.355
glipizide,carvedilol,0.023,2.0,0.348
naproxen,abilify,0.02,1.443,0.344
carvedilol,abilify,0.06,1.439,0.343
dextroamphetamine xr,abilify,0.027,1.421,0.339
citalopram,amphetamine salt combo xr,0.029,1.838,0.33
amlodipine,abilify,0.024,1.385,0.33
diazepam,abilify,0.053,1.348,0.321
levofloxacin,abilify,0.02,1.342,0.32
cialis,abilify,0.024,1.316,0.314
amphetamine salt combo,carvedilol,0.021,1.758,0.306
amlodipine,carvedilol,0.021,1.704,0.297
metoprolol,carvedilol,0.028,1.679,0.292
amphetamine salt combo xr,abilify,0.051,1.189,0.283
citalopram,abilify,0.024,1.174,0.28
atorvastatin,carvedilol,0.035,1.572,0.274
doxycycline hyclate,carvedilol,0.025,1.522,0.265
citalopram,glyburide,0.022,1.476,0.252
abilify,carvedilol,0.06,1.439,0.251
atorvastatin,diazepam,0.032,1.513,0.248
metoprolol,atorvastatin,0.024,1.91,0.248
citalopram,carvedilol,0.021,1.414,0.246
metoprolol,diazepam,0.023,1.468,0.241
diazepam,carvedilol,0.039,1.374,0.239
atorvastatin,amphetamine salt combo xr,0.031,1.322,0.238
lisinopril,diazepam,0.023,1.433,0.235
doxycycline hyclate,amphetamine salt combo xr,0.022,1.272,0.229
metoprolol,amphetamine salt combo xr,0.022,1.269,0.228
carvedilol,lisinopril,0.039,2.291,0.225
carvedilol,diazepam,0.039,1.374,0.225
lisinopril,atorvastatin,0.022,1.728,0.224
abilify,diazepam,0.053,1.348,0.221
losartan,glyburide,0.029,1.263,0.216
abilify,amphetamine salt combo xr,0.051,1.189,0.214
glyburide,amphetamine salt combo xr,0.036,1.185,0.213
doxycycline hyclate,glyburide,0.02,1.239,0.212
diazepam,glyburide,0.034,1.228,0.21
carvedilol,amphetamine salt combo xr,0.037,1.167,0.21
carvedilol,atorvastatin,0.035,1.572,0.204
amphetamine salt combo xr,carvedilol,0.037,1.167,0.203
diazepam,amphetamine salt combo xr,0.033,1.127,0.203
amphetamine salt combo xr,glyburide,0.036,1.185,0.203
abilify,atorvastatin,0.048,1.554,0.201
glyburide,diazepam,0.034,1.228,0.201
losartan,carvedilol,0.027,1.153,0.201
diazepam,atorvastatin,0.032,1.513,0.196
losartan,amphetamine salt combo xr,0.025,1.072,0.193
amphetamine salt combo xr,diazepam,0.033,1.127,0.185
atorvastatin,glyburide,0.024,1.071,0.183
atorvastatin,metoprolol,0.024,1.91,0.182
losartan,diazepam,0.023,1.084,0.178
abilify,lisinopril,0.041,1.748,0.172
amphetamine salt combo xr,atorvastatin,0.031,1.322,0.171
atorvastatin,lisinopril,0.022,1.728,0.17
glyburide,losartan,0.029,1.263,0.167
amphetamine salt combo xr,citalopram,0.029,1.838,0.16
carvedilol,metoprolol,0.028,1.679,0.16
carvedilol,losartan,0.027,1.153,0.152
abilify,metoprolol,0.036,1.572,0.15
carvedilol,doxycycline hyclate,0.025,1.522,0.145
diazepam,losartan,0.023,1.084,0.143
amphetamine salt combo xr,losartan,0.025,1.072,0.142
abilify,doxycycline hyclate,0.034,1.489,0.141
diazepam,lisinopril,0.023,1.433,0.141
diazepam,metoprolol,0.023,1.468,0.14
glyburide,atorvastatin,0.024,1.071,0.139
carvedilol,glipizide,0.023,2.0,0.132
glyburide,citalopram,0.022,1.476,0.129
carvedilol,citalopram,0.021,1.414,0.123
carvedilol,amlodipine,0.021,1.704,0.122
amphetamine salt combo xr,doxycycline hyclate,0.022,1.272,0.121
amphetamine salt combo xr,metoprolol,0.022,1.269,0.121
carvedilol,amphetamine salt combo,0.021,1.758,0.12
glyburide,doxycycline hyclate,0.02,1.239,0.118
abilify,glipizide,0.028,1.758,0.116
abilify,dextroamphetamine xr,0.027,1.421,0.115
abilify,citalopram,0.024,1.174,0.102
abilify,amphetamine salt combo,0.024,1.497,0.102
abilify,cialis,0.024,1.316,0.101
abilify,amlodipine,0.024,1.385,0.099
abilify,metformin,0.023,1.915,0.097
abilify,clopidogrel,0.023,1.594,0.096
abilify,levofloxacin,0.02,1.342,0.085
abilify,fenofibrate,0.02,1.654,0.084
abilify,naproxen,0.02,1.443,0.084
